Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18
28,95.46056365966797,599.7964110015073,31765318.0,-19819036.0,37441015.151974976,-31.96088843139271,-33042.93863130534,8.412277890906126e-11,31765318.0,33042.93863130534,-8.412277890906126e-11,31765317.999999996,-0.6239205916339323,1.6027680660149162,-19819036.0,3.148087483336386e-08,-5.045654087312824e-08
29,112.34078979492188,705.8579998364036,32045496.0,-17091396.0,36318447.531727344,-28.073133935157106,-24213.64637641178,8.2890569247899e-11,32045496.0,24213.64637641178,-8.2890569247899e-11,32045495.999999996,-0.5333478377117333,1.8749490094314123,-17091396.0,3.120563339072674e-08,-5.850897141462289e-08
30,132.247802734375,830.9374510474094,32056198.0,-14159265.0,35044038.23128021,-23.831110901532863,-17040.109315270398,8.499452607514897e-11,32056198.0,17040.109315270398,-8.499452607514897e-11,32056198.0,-0.4417013209114818,2.263973306524032,-14159265.0,3.1195215352737714e-08,-7.062513484986685e-08
31,155.53086853027344,977.229267962294,32735296.0,-11942646.0,34845751.50127964,-20.043220740741635,-12220.92541794481,8.568463974860196e-11,32735296.0,12220.925417944813,-8.568463974860195e-11,32735296.0,-0.36482474452041,2.741042144261833,-11942646.0,3.05480665273349e-08,-8.373353777713917e-08
32,183.12130737304688,1150.5851079178449,33009714.0,-10969108.0,34784515.932774745,-18.38161603653679,-9533.504235814624,7.923370038216331e-11,33009714.0,9533.504235814624,-7.92337003821633e-11,33009713.999999996,-0.3322993952628611,3.009334396197029,-10969108.0,3.029411281782084e-08,-9.116511570494155e-08
33,215.48477172851562,1353.9307516455565,32674338.0,-8371622.0,33729755.686176084,-14.370841739642662,-6183.19806225333,8.822546112829274e-11,32674338.0,6183.19806225333,-8.822546112829275e-11,32674338.0,-0.2562139744040109,3.902987736426704,-8371622.0,3.0605057706142354e-08,-1.1945116489970523e-07
34,253.55258178710938,1593.117856482216,33049094.0,-7800671.5,33957224.41648829,-13.28061858763218,-4896.481116108235,8.046742523599886e-11,33049094.0,4896.481116108235,-8.046742523599884e-11,33049094.000000004,-0.23603283950839923,4.2366985970374476,-7800671.5,3.025801554499497e-08,-1.2819409200861745e-07
35,298.3724670410156,1874.7295009790348,33395890.0,-6511586.5,34024788.42901278,-11.033197400049756,-3473.347219745287,8.191710059887766e-11,33395890.0,3473.3472197452875,-8.191710059887766e-11,33395889.999999996,-0.19498167289447893,5.128687148669529,-6511586.5,2.9943804462165856e-08,-1.535724051273833e-07
36,351.1086120605469,2206.0804725230455,32680852.0,-5222288.5,33095473.778496303,-9.078912579258452,-2367.224842903117,8.679961308427471e-11,32680852.0,2367.2248429031165,-8.679961308427471e-11,32680852.0,-0.15979658363863952,6.257956066578857,-5222288.5,3.05989574568007e-08,-1.914869314477743e-07
37,413.1579895019531,2595.94820918253,33057890.0,-4735817.5,33395389.781306732,-8.152626647301766,-1824.3112413599808,8.134090840101973e-11,33057890.0,1824.3112413599806,-8.134090840101973e-11,33057890.0,-0.14325831140462988,6.980397787710358,-4735817.5,3.0249964531916585e-08,-2.1115678549690736e-07
