Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18
90,2310104.0,14514811.51085679,32409942.0,9188896.0,33687388.59190751,15.82914174313465,0.6330702946522515,-7.497651729881246e-15,32409942.0,-0.6330702946522515,7.497651729881246e-15,32409942.0,0.2835209023206521,-3.527076810968369,9188896.0,3.085472969991739e-08,1.0882700163327564e-07
91,2718557.75,17081202.111519195,32527360.0,9418989.0,33863645.733318806,16.14949769412795,0.5514242462858066,-6.215517289210827e-15,32527360.0,-0.5514242462858067,6.215517289210826e-15,32527360.0,0.28957127169250746,-3.453381249303933,9418989.0,3.074334959861483e-08,1.0616850704465203e-07
92,3199230.75,20101359.64267713,32456406.0,10315014.0,34056097.9012134,17.63084694464035,0.5131500646404151,-4.822860990770924e-15,32456406.0,-0.5131500646404151,4.822860990770924e-15,32456406.0,0.3178113436219648,-3.146520789986325,10315014.0,3.081055863055201e-08,9.694606328212448e-08
93,3764892.5,23655517.23911062,32683822.0,10085044.0,34204390.55164731,17.148331600513067,0.42632946462595167,-4.191695767647546e-15,32683822.0,-0.42632946462595167,4.191695767647546e-15,32683822.0,0.3085637903669895,-3.24082096220899,10085044.0,3.0596176909787356e-08,9.915673149269353e-08
94,4430570.0,27838092.32643066,32202220.0,10765761.0,33954154.13226371,18.48567606939719,0.38672768499221233,-3.3366895015129416e-15,32202220.0,-0.38672768499221233,3.3366895015129416e-15,32202219.999999996,0.3343173545177941,-2.991169876425828,10765761.0,3.105375964762678e-08,9.288707040774916e-08
95,5213947.0,32760195.182813082,30858504.0,10095837.0,32468033.415169835,18.116309279633292,0.3081738965125751,-3.023508467813287e-15,30858504.0,-0.3081738965125751,3.023508467813287e-15,30858504.0,0.32716547114532835,-3.056557272071647,10095837.0,3.240597794371367e-08,9.905072754245141e-08
96,6135834.5,38552585.1776856,26150462.0,7427529.0,27184827.567216333,15.856163923823265,0.1926596871718757,-3.492224368580186e-15,26150462.0,-0.1926596871718757,3.492224368580186e-15,26150461.999999996,0.2840305077592893,-3.520748555811765,7427529.0,3.824024218004256e-08,1.3463427742927694e-07
97,7220722.5,45369137.51922105,8203638.0,223234.984375,8206674.7403130885,1.5587312411824208,0.004920414990926915,-9.873638453500405e-14,8203638.0,-0.004920414990926915,9.873638453500404e-14,8203638.0,0.027211705876709822,-36.748890515382506,223234.984375,1.2189713880597852e-07,4.479584608119289e-06
98,8497431.0,53390933.60797234,-25555436.0,436827.5,25559169.145628586,179.0207197036352,0.008181679369149913,-4.287681464665417e-14,-25555436.0,-0.008181679369149913,4.287681464665417e-14,-25555436.0,-0.017093329967056717,58.50235161476784,436827.5,-3.9130617845846964e-08,2.289233164120849e-06
99,9999878.0,62831086.52318839,-57739768.0,-20056556.0,61124023.48729148,-160.84475594649584,-0.3192138972894881,7.935404503439671e-16,-57739768.0,0.3192138972894881,-7.935404503439672e-16,-57739767.99999999,0.34736121558368577,-2.878847594771505,-20056556.0,-1.731908586816629e-08,-4.985900869521168e-08
